SCORES

DATA
name,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.6a,1.1.6b,1.1.6c,1.1.7,1.1.8,1.2.1,1.2.2,1.3.1,1.3.2,1.4.1,1.4.2,2.1.1,2.1.2,2.1.3,2.2.1,2.2.2,2.3.1,3.1.1,3.1.1a,3.1.1b,3.1.1c,3.1.2,3.1.2a,3.1.2b,3.1.2c,3.1.3,3.1.3a,3.1.3b,3.1.3c,3.1.4,3.1.4a,3.1.4b,3.1.4c,3.1.5,3.1.5a,3.1.5b,3.1.5c,3.1.6,3.1.6a,3.1.6b,3.1.6c,3.1.7,3.1.7a,3.1.7b,3.1.7c,3.1.8,3.1.8a,3.1.8b,3.1.8c,3.1.9,3.1.9a,3.1.9b,3.1.9c,3.2.1,3.2.1a,3.2.1b,3.2.1c,3.2.2,3.2.2a,3.2.2b,3.2.2c,3.2.3,3.2.3a,3.2.3b,3.2.3c,3.2.4,3.2.4a,3.2.4b,3.2.4c,3.2.5,3.2.5a,3.2.5b,3.2.5c,3.2.6,3.2.6a,3.2.6b,3.2.6c,3.2.7,3.2.7a,3.2.7b,3.2.7c,3.2.8,3.2.8a,3.2.8b,3.2.8c,3.3.1,3.3.1a,3.3.1b,3.3.1c,3.3.2,3.3.2a,3.3.2b,3.3.2c,3.4.1,3.4.1a,3.4.1b,3.4.1c,3.4.2,4.1.1,4.1.1a,4.1.1b,4.1.1c,4.1.2,4.1.2a,4.1.2b,4.1.2c,4.1.3,4.1.3a,4.1.3b,4.1.3c,4.2.1,4.2.1a,4.2.1b,4.2.1c,4.2.2,4.2.2a,4.2.2b,4.2.2c,4.2.3,4.2.3a,4.2.3b,4.2.3c,4.2.4,4.2.4a,4.2.4b,4.2.4c,4.3.1,4.3.1a,4.3.1b,4.3.1c,4.4.1,4.4.1a,4.4.1b,4.4.1c,5.1.1,5.1.1a,5.1.1b,5.1.1c,5.1.2,5.1.2a,5.1.2b,5.1.2c,5.2.1,5.2.1a,5.2.1b,5.2.1c,5.3.1,5.4.1,BG 01,BG 02,BG 03,BG 04,BG 05,BG 06,BG 07
,,,,,,Overall,School,Higher education,TVET,,,,,,,,,,,,,,,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET
Bangladesh,37.6,33.4,33.0,7.2,10.9,-,2,1,2,2,3,39.4,5.6,97.8,88.9,50.6,97.8,3,0,1,1,1,1,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,76.0,76.0,74.0,-,3,3,3,-,0,3,1,-,83.0,81.0,87.0,-,89.0,87.0,90.0,-,97.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,1,1,3,-,4,5,5,-,1,2,2,-,10.0,100.0,100.0,-,28.0,33.0,35.0,1,-,6,6,6,-,1,1,1,-,2,2,2,-,39.0,41.0,37.0,-,97.0,98.0,100.0,-,39.0,42.0,46.0,-,1,1,0,-,2,1,2,-,3,3,3,-,21.0,21.0,19.0,-,0.0,21.0,19.0,-,8.0,7.0,11.0,1.8,2,5122,38,24,120,74,75,1
Cambodia,73.6,26.1,24.9,11.2,20.3,-,2,1,1,2,12,36.8,8.0,99.7,90.9,66.6,28.0,2,0,0,1,0,1,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,78.0,78.0,82.0,-,3,3,3,-,0,3,1,-,83.0,84.0,85.0,-,91.0,91.0,92.0,-,82.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,1,1,3,-,4,5,5,-,1,2,2,-,13.0,100.0,100.0,-,29.0,28.0,27.0,0,-,6,6,6,-,1,1,1,-,2,2,2,-,41.0,34.0,44.0,-,97.0,97.0,99.0,-,41.0,38.0,39.0,-,1,1,0,-,2,1,2,-,3,3,3,-,21.0,28.0,23.0,-,0.0,28.0,23.0,-,12.0,5.0,8.0,9.7,1,4570,57,18,105,55,81,2
Fiji,70.5,9.7,20.2,12.9,28.1,-,1,2,2,3,4,42.6,30.6,100.0,100.0,81.7,18.0,1,0,0,1,0,0,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,79.0,76.0,84.0,-,3,3,3,-,0,3,1,-,83.0,81.0,86.0,-,91.0,89.0,94.0,-,100.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,1,1,3,-,4,5,5,-,1,2,2,-,3.0,100.0,100.0,-,29.0,30.0,25.0,0,-,6,6,6,-,1,1,1,-,2,2,3,-,41.0,40.0,51.0,-,97.0,98.0,100.0,-,43.0,41.0,41.0,-,1,1,1,-,2,1,2,-,3,3,3,-,23.0,27.0,24.0,-,0.0,27.0,24.0,-,5.0,7.0,10.0,0.4,1,12170,37,30,116,-,99,4
Kyrgystan,47.0,41.3,44.9,10.7,21.4,-,2,2,1,3,8,20.4,12.4,99.7,100.0,98.6,4.7,3,0,0,1,0,0,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,77.0,75.0,77.0,-,3,3,3,-,1,3,1,-,80.0,84.0,72.0,-,89.0,92.0,82.0,-,100.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,1,1,3,-,4,5,5,-,1,2,2,-,14.0,100.0,100.0,-,28.0,33.0,32.0,0,-,6,6,6,-,1,1,1,-,2,2,3,-,43.0,45.0,29.0,-,97.0,99.0,96.0,-,40.0,40.0,36.0,-,1,1,1,-,2,1,2,-,3,3,3,-,23.0,22.0,21.0,-,0.0,22.0,21.0,-,10.0,7.0,11.0,4.4,1,5020,24,20,103,98,100,6
Mongolia,46.7,32.6,44.0,12.5,19.3,-,2,2,1,2,2,22.4,29.7,100.0,97.2,97.0,11.3,1,0,0,1,0,0,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,76.0,81.0,73.0,-,3,3,3,-,0,3,1,-,81.0,77.0,90.0,-,89.0,88.0,96.0,-,79.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,1,1,3,-,4,5,5,-,1,2,2,-,4.0,100.0,100.0,-,31.0,28.0,26.0,0,-,6,6,6,-,1,1,1,-,2,2,2,-,38.0,42.0,32.0,-,99.0,97.0,96.0,-,42.0,35.0,36.0,-,0,0,0,-,2,1,2,-,3,3,3,-,28.0,22.0,32.0,-,0.0,22.0,32.0,-,5.0,10.0,7.0,3.3,1,12220,69,28,103,92,98,4
Pakistan,34.1,9.6,10.9,11.5,18.5,-,2,2,2,2,11,35.3,14.3,100.0,58.7,62.8,482.3,2,0,0,1,0,0,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,79.0,74.0,80.0,-,3,3,3,-,0,3,1,-,82.0,81.0,79.0,-,90.0,88.0,92.0,-,100.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,1,1,3,-,4,5,5,-,1,2,2,-,12.0,100.0,100.0,-,25.0,31.0,28.0,0,-,6,6,6,-,1,1,1,-,2,2,2,-,43.0,39.0,38.0,-,98.0,97.0,99.0,-,37.0,44.0,48.0,-,1,0,1,-,2,1,2,-,3,3,3,-,21.0,19.0,24.0,-,0.0,19.0,24.0,-,7.0,10.0,5.0,1.1,1,4857,37,24,95,45,59,3
Philipines,17.7,37.3,38.0,6.6,23.4,-,2,2,1,1,8,46.1,23.8,98.0,93.5,76.9,25.2,2,1,1,1,1,0,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,79.0,76.0,79.0,-,3,3,3,-,0,3,1,-,83.0,85.0,87.0,-,90.0,93.0,91.0,-,100.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,1,1,3,-,4,5,5,-,1,2,2,-,15.0,100.0,100.0,-,32.0,35.0,24.0,1,-,6,6,6,-,1,1,1,-,2,2,2,-,36.0,39.0,31.0,-,98.0,98.0,98.0,-,36.0,40.0,39.0,-,1,1,1,-,2,1,2,-,3,3,2,-,22.0,23.0,22.0,-,0.0,23.0,22.0,-,13.0,7.0,6.0,12.0,2,8384,47,17,99,90,96,3
Uzbekistan,93.5,34.3,34.8,8.0,14.3,-,2,2,2,2,2,13.0,40.9,100.0,100.0,100.0,4.0,2,1,1,1,2,2,-,0,0,0,-,1,1,1,-,1,1,1,-,1,2,1,-,2,2,2,-,1,1,1,-,75.0,79.0,76.0,-,3,3,3,-,0,3,1,-,75.0,85.0,88.0,-,87.0,93.0,92.0,-,100.0,100.0,100.0,-,3,3,3,-,3,3,3,-,0,3,3,-,0,1,3,-,4,5,5,-,1,2,2,-,8.0,100.0,100.0,-,30.0,28.0,24.0,0,-,6,6,6,-,1,1,1,-,2,2,2,-,39.0,40.0,32.0,-,97.0,96.0,98.0,-,39.0,41.0,37.0,-,1,1,1,-,2,1,2,-,3,3,3,-,22.0,22.0,17.0,-,0.0,22.0,17.0,-,5.0,4.0,12.0,4.6,2,8680,50,14,100,97,100,5
Model country,99.8,236.8,262.2,26.9,195.5,-,3,3,3,0,0,0.0,98.3,100.0,100.0,100.0,440.7,3,1,1,1,2,3,-,1,1,1,-,2,2,2,-,2,2,2,-,4,4,4,-,2,2,2,-,2,2,2,-,100.0,100.0,100.0,-,3,3,3,-,3,3,3,-,100.0,100.0,100.0,-,100.0,100.0,100.0,-,100.0,100.0,100.0,-,3,3,3,-,3,3,3,-,3,3,3,-,3,3,3,-,5,5,5,-,3,3,3,-,100.0,100.0,100.0,-,100.0,100.0,100.0,1,-,7,7,7,-,2,2,2,-,4,4,4,-,100.0,100.0,100.0,-,100.0,100.0,100.0,-,100.0,100.0,100.0,-,2,2,2,-,2,2,2,-,3,3,3,-,100.0,100.0,100.0,-,100.0,100.0,100.0,-,100.0,100.0,100.0,13.6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
